BandID,BandCombo,Age,Sex,d13C,d15N,BodyMass,Tarsus,Stmass
1713-44427,OMWW,AHY,M,-21,7.4,116,42,2.761904762
1713-44417,YMOR,AHY,F,-21.5,6.7,111,41.5,2.674698795
1713-44411,OMNW,AHY,M,-22.5,6.2,111,42.6,2.605633803
1713-44416,OMRG,AHY,M,-21.9,6.2,118,40.3,2.928039702
1713-44424,NMWW,AHY,F,-21.5,6.2,116,41.2,2.815533981
1713-44429,BMWW,AHY,F,-22.3,6.7,116,41.1,2.822384428
1713-44436,OMRO,AHY,M,-22.3,6.7,100,41.9,2.386634845
1573-59794,YMNN,AHY,M,-20.9,6.7,113,44.6,2.533632287
1713-44412,YMGY,AHY,F,-22.5,6.2,106,41,2.585365854
1713-44450,RMBN,AHY,F,-22,6.4,113,41.1,2.749391727
1713-44418,GMBY,AHY,F,-21.7,6.2,110,41.2,2.669902913
1713-58908,PMRP,AHY,M,-21.4,7.2,125,43.1,2.900232019
1713-44419,BMOW,AHY,M,-20,7,119,42.5,2.8
1713-58909,RMBW,AHY,F,-20,6.9,116,40.5,2.864197531
1713-44408,WMWR,AHY,M,-21.2,6.7,120,42.8,2.803738318
1713-44422,YMOY,AHY,M,-20.3,7,117,41.8,2.799043062
1713-44405,WMRG,AHY,M,-20.7,6.7,121,44.5,2.719101124
1713-44410,BMBN,AHY,F,-21.2,6.9,108,41.9,2.577565632
1713-44470,YMYW,AHY,F,-20,7.8,108,41.1,2.627737226
1713-58936,PMOV,AHY,M,-19.7,7.5,118,43.2,2.731481481
1713-44421,NMNG,AHY,M,-20.8,7.2,120,43.4,2.764976959
1713-44475,WMRO,AHY,F,-21.9,6.5,109,41.2,2.645631068
1573-59943,RMGB,AHY,M,-21.5,7.3,120,43,2.790697674
1713-44403,YMWN,AHY,M,-21.3,6.4,118,43.8,2.694063927
1713-58959,VMBB,AHY,M,-20.8,7.5,120,43.6,2.752293578
1713-44484,RMRO,AHY,F,-20.4,7.1,110,41,2.682926829
1713-44487,SMYY,AHY,F,-21.3,6.4,106,49.4,2.145748988
1413-06218,PMWP,AHY,F,-21.4,6.7,114,41.5,2.746987952
1713-44464,WMOO,AHY,M,-20.3,7,116,42,2.761904762
1573-59724,OMYP,AHY,F,-22.3,5.6,111,39.8,2.788944724
1713-44462,RMGG,AHY,M,-21.5,6.7,127,41.7,3.045563549
1713-44408,WMWR,AHY,M,-22.2,5.6,121,40.7,2.972972973
1713-44446,RMWB,AHY,M,-21.7,6.8,123,45.5,2.703296703
1743-44447,YMOW,AHY,F,-22.2,5.8,105,42.1,2.494061758
1573-59939,NMRN,AHY,M,-20.9,6.5,123,43.6,2.821100917
