BandID,BandCombo,Age,Sex,d13C,d15N,GB_Average,Tarsus,GB_TL
1713-44401,WMWG,AHY,M,-21.3,6.9,4.3765,45.5,9.6186813
1713-58959,VMBB,AHY,M,-20.6,7.1,3.721533333,45.9,8.1079158
1713-44403,YMWN,AHY,M,-22.3,3.3,3.325966667,44.7,7.4406413
1713-44404,RMYW,AHY,F,-20.8,4.9,2.683077778,43.1,6.2252385
1573-59939,NMRN,AHY,M,-20.1,6.3,3.574566667,44.5,8.0327341
1713-44405,WMRG,AHY,M,-21,7.2,4.8372,45.3,10.6781457
1713-58932,BMGO,AHY,M,-19.9,7,3.029133333,42.7,7.0939891
1713-44406,GMYY,AHY,F,-21.2,6.4,4.123151852,41.8,9.8639996
1713-44407,WMOW,AHY,M,-22.2,6,4.3214,42.8,10.096729
1713-44408,WMWR,AHY,M,-22.5,4.4,3.648233333,42.6,8.563928
1713-58931,OMYR,AHY,M,-20.2,7,3.675233333,45.5,8.0774359
1713-59093,BMBY,AHY,M,-21.6,7.2,3.9182,44.4,8.8247748
1573-59727,MSP,AHY,M,-21.3,6.8,4.099941667,42.2,9.7155016
1713-44409,GMGW,AHY,M,-21,6.6,4.346566667,40.9,10.6273024
1713-44410,BMBN,AHY,F,-22,7.6,3.126133333,40,7.8153333
1713-59032,RLPM,AHY,M,-20.5,7.5,4.181866667,42.5,9.8396863
1573-59943,RMGB,AHY,M,-21.2,6,3.822633333,42.4,9.0156447
1713-44411,OMNW,AHY,M,-21.3,5.1,3.320133333,41.9,7.9239459
1713-44413,BMNW,AHY,M,-22.2,5.4,3.734933333,44.4,8.412012
1713-44414,RMNN,AHY,M,-21.7,7,3.6973625,40.4,9.1518874
1713-58908,PMRP,AHY,M,-21.3,6.6,3.5222,43.2,8.1532407
1713-59046,GMOV,AHY,M,-20.8,6.7,3.603166667,44.9,8.0248701
1573-59794,YMNN,AHY,M,-21.2,6.2,3.419566667,42.5,8.0460392
1573-59920,VMRS,AHY,F,-19.8,6.9,3.363766667,43.7,7.6974066
1713-44415,RMYG,AHY,F,-20.8,5.9,3.9597,40.1,9.8745636
1713-58909,RMBW,AHY,F,-20.9,7.4,3.542333333,42.7,8.2958626
1713-58911,BMOO,AHY,M,-20.6,7.1,2.9088,44.9,6.4783964
1573-59782,OMRS,AHY,F,-23.1,5.8,3.632733333,41.8,8.6907496
1573-59934,SMYR,AHY,M,-21.8,6.2,4.4741,42.3,10.5770686
1713-44418,GMBY,AHY,F,-20.8,7.2,3.7026,44.3,8.3580135
1713-44419,BMOW,AHY,M,-20.9,5.9,3.265541667,45,7.2567593
1713-58970,MG,AHY,M,-22.6,5.2,3.415533333,46.5,7.345233
1713-44420,NMOW,AHY,M,-22,5,3.8906,40.4,9.630198
1713-44421,NMNG,AHY,M,-22.5,4.1,3.992933333,42.3,9.4395587
1573-59940,PGM,AHY,F,-20.3,7.7,3.381766667,41.2,8.2081715
1713-44422,YMOY,AHY,M,-20.9,6.6,4.310633333,42,10.2634127
1713-44423,OMGN,AHY,F,-21.8,4.8,4.144291667,41,10.1080285
1713-58999,VMBG,AHY,F,-20.9,6.1,4.106333333,42.9,9.5718726
1573-59932,NMBY,AHY,M,-21.4,5.8,3.614066667,43.1,8.3853055
1573-59936,OMYN,AHY,M,-22,6.2,3.737066667,41.8,8.9403509
1713-44425,GMOR,AHY,M,-22.9,5.3,4.162975,41.1,10.1288929
1713-44427,OMWW,AHY,M,-21,7.4,3.0251,42,7.202619
1713-59033,YMPO,AHY,M,-20,8,3.964966667,42.2,9.3956556
1713-44428,NMNW,AHY,F,-20.9,6.4,4.452833333,42.2,10.5517378
1713-44430,YMRW,AHY,F,-22.2,5.7,3.993666667,42.4,9.4190252
1713-44417,YMOR,AHY,F,-21.5,6.7,3.937833333,41.5,9.488755
1713-44411,OMNW,AHY,M,-22.5,6.2,4.332358333,42.6,10.1698552
1713-44416,OMRG,AHY,M,-21.9,6.2,2.981133333,40.3,7.3973532
1713-44424,NMWW,AHY,F,-21.5,6.2,4.217833333,41.2,10.2374595
1713-44429,BMWW,AHY,F,-22.3,6.7,4.258638095,41.1,10.3616499
1713-44435,BMOG,AHY,M,-21.3,8.2,4.1883,42.2,9.9248815
1713-44436,OMRO,AHY,M,-22.3,6.7,4.1864,41.9,9.9914081
1573-59794,YMNN,AHY,M,-20.9,6.7,2.609933333,44.6,5.8518685
1713-44412,YMGY,AHY,F,-22.5,6.2,3.2322,41,7.8834146
1713-44450,RMBN,AHY,F,-22,6.4,4.537933333,41.1,11.0412003
1713-44418,GMBY,AHY,F,-21.7,6.2,4.718933333,41.2,11.4537217
