BandID,BandCombo,Age,Sex,d13C,d15N,GB_Average,Tarsus,GB_TL
1713-44432,GMYW,HY,M,-22.6,3.8,4.2754,42.2,10.1312796
1713-44434,OMON,HY,M,-22.1,5.7,3.240333333,40.1,8.0806318
1713-44438,BMGN,HY,M,-23.2,6.4,3.7386,43.6,8.5747706
1713-44439,RMOB,HY,M,-21.8,4.7,4.057166667,44.9,9.0360059
1713-44440,YMBW,HY,F,-22.2,4.6,3.0324,40.8,7.4323529
1713-44441,NMGY,HY,M,-22.6,3.3,4.441166667,42,10.5742063
1713-44444,RMOO,HY,F,-22.2,4.2,3.3955,39.8,8.531407
1713-44446,RMWB,HY,M,-22.7,4.1,3.250866667,42.6,7.6311424
1713-44447,YMOW,HY,M,-22.4,5.2,3.252333333,40.6,8.0106732
1713-44448,GMOO,HY,M,-21.5,5.9,3.582033333,39.9,8.9775272
1713-44452,NMBB,HY,M,-21.9,4.7,3.174666667,41.1,7.7242498
1713-44453,WMRW,HY,F,-21.9,4.1,3.2128,43.2,7.437037
1713-44455,OMYW,HY,F,-21.5,4.6,3.273133333,41.2,7.9444984
1713-44458,OMGR,HY,F,-22.6,4.8,3.368766667,41.2,8.1766181
1713-44459,WMBO,HY,F,-22.6,3.6,3.457866667,43.3,7.9858353
1713-44460,GMGB,HY,M,-21.5,4.5,3.018533333,43.3,6.9712086
1713-44461,OMYY,HY,M,-21.7,4.9,3.053266667,44.1,6.9235072
1713-44462,RMGG,HY,M,-22,3.6,3.235633333,43.7,7.4041953
1713-44463,BMNG,HY,M,-22.2,3.5,3.553166667,44.3,8.0206922
1713-44464,WMOO,HY,M,-23,5.5,3.513933333,43.4,8.0966206
1713-44465,NMNY,HY,F,-22.5,5.2,3.388377778,42,8.0675661
1713-44466,NMBN,HY,M,-22.3,6.3,3.413533333,42,8.1274603
1713-44467,WMBB,HY,F,-22,4.8,3.751396296,43,8.7241774
1713-44469,YMOO,HY,F,-21.7,4.9,3.8125,42.5,8.9705882
1713-44471,OMWO,HY,M,-22.5,3.8,2.917166667,41,7.1150407
1713-44474,RMBY,HY,M,-21.9,5.8,3.148533333,43.2,7.2882716
1713-44476,WMOG,HY,M,-21.1,5.4,3.0308,39.6,7.6535354
1713-44477,BMNN,HY,F,-22,5.2,3.066333333,39.9,7.6850459
1713-44479,OMWG,HY,F,-22.1,4,3.058133333,42.1,7.2639747
1713-44480,WMYY,HY,F,-22,4.7,2.821066667,41.1,6.8639092
1713-44481,BMNO,HY,M,-22.3,5.1,3.8144,43.2,8.8296296
1713-44482,GMOW,HY,F,-21.1,6.4,2.987533333,40.8,7.3223856
1713-44483,WMGB,HY,F,-22.5,4.7,3.6782,41,8.9712195
1713-44492,RMNR,HY,M,-23.3,5.4,2.965166667,43.4,6.8321813
1713-44493,PMOY,HY,M,-23.5,5.4,3.424166667,44.8,7.6432292
1713-44494,NMSB,HY,M,-22.1,4.8,3.992966667,42,9.5070635
1713-44496,OMRY,HY,M,-22.3,5.4,3.4633,42.4,8.1681604
1713-44497,SMPY,HY,M,-22.4,4.1,3.1562,43.9,7.1895216
1713-44499,GMSO,HY,F,-22.8,3,3.542133333,39.2,9.0360544
1713-44500,RMPN,HY,F,-22.6,3.7,2.875066667,43.7,6.5790999
1413-06215,PMWR,HY,M,-23.1,4.2,2.958,44.5,6.647191
1413-06216,YMNW,HY,M,-22.9,4.4,4.0643,41.7,9.7465228
1413-06217,OMOY,HY,M,-23,5.3,3.6575,43.5,8.408046
1413-06219,BMOP,HY,M,-22.8,3.9,3.74945,38.5,9.7388312
1413-06220,GMON,HY,F,-21.9,4.1,2.8815,40.4,7.1324257
1413-06222,WMBP,HY,M,-22.2,4.1,3.237766667,41.2,7.858657
1643-06451,NMYP,HY,M,-22.4,5.6,3.201466667,42.3,7.5684791
1643-06452,SMSS,HY,M,-22.1,5.4,3.135933333,43.8,7.1596651
1643-06453,WMYG,HY,F,-22.4,4.7,3.4219,41,8.3460976
1643-06454,SMON,HY,F,-22.2,4.5,2.748566667,36.8,7.4689312
1643-06455,PMBN,HY,F,-21.9,5.3,2.9321,38.8,7.5569588
1643-06456,RMWO,HY,F,-22.2,5.6,3.111033333,40.1,7.7581879
1643-06457,YMOB,HY,M,-22.3,5.4,3.3273,44.5,7.4770787
1643-06458,NMOO,HY,M,-22.1,4.7,2.3003,42.7,5.3871194
1643-06459,SMGO,HY,F,-22.7,3.4,3.4666,40.9,8.4757946
1643-06460,WMWN,HY,F,-23,3.8,3.194733333,40,7.9868333
1643-06461,RMNP,HY,F,-23.2,5.9,2.3996,40.8,5.8813725
1643-06462,WMYB,HY,M,-22.2,4.3,3.4789,44.8,7.7654018
1643-06463,PMYN,HY,F,-22.3,5.5,3.2293,42.7,7.5627635
1643-06464,GMPR,HY,M,-22.4,4.4,2.1209,39.5,5.3693671
1643-06465,GMWP,HY,F,-22.4,5,2.769766667,40.4,6.8558581
1643-06466,NMYN,HY,F,-22.4,3.9,2.75645,40.9,6.7394866
1643-06467,SMOB,HY,M,-22.4,5.3,2.889566667,42.7,6.7671351
1643-06470,GMRG,HY,M,-21.9,4.9,2.714533333,39.9,6.8033417
1643-06473,BMNS,HY,M,-22.3,5.6,2.9791,44,6.7706818
1643-06474,GMSW,HY,M,-22.5,5.2,4.101833333,41.1,9.9801298
1643-06475,YMWP,HY,F,-22.5,5.2,3.133933333,39.3,7.9743851
1413-06223,VMBP,HY,M,-23.2,5.1,3.025566667,42.2,7.1695893
1413-06224,YMWW,HY,F,-22.3,5.4,4.090672222,39.8,10.2780709
1643-06480,OMSO,HY,F,-22.9,4.5,4.231433333,38.7,10.9339363
1643-06482,PMGW,HY,F,-22.7,4.4,3.7812,41,9.222439
1643-06484,OMVP,HY,M,-22.6,3.8,3.355666667,42.9,7.8220668
1643-06487,RMOR,HY,F,-22.3,3.9,3.087033333,40.8,7.5662582
1643-06488,PMNN,HY,F,-22.3,5.1,3.798333333,39.9,9.5196324
1643-06490,RMSG,HY,M,-22.9,5.2,3.815166667,44,8.6708333
1643-06491,VMVO,HY,F,-22.6,4.6,3.573666667,42,8.5087302
1643-06476,NMGP,HY,M,-21.7,5.6,3.719133333,41.5,8.9617671
1643-06492,YMNR,HY,F,-22.8,4.8,4.293366667,41.4,10.3704509
1643-06493,GMOY,HY,M,-22.8,4.7,3.378266667,42.1,8.0243864
1643-06494,OMNY,HY,F,-22.9,5.9,3.476266667,42,8.2768254
1643-06495,BMYG,HY,M,-23.1,5.1,3.3953,43.7,7.7695652
1643-06496,BMRV,HY,F,-21.4,5.4,3.446266667,43,8.0145736
1643-06498,SMGG,HY,M,-22.5,5.2,3.391,43.1,7.8677494
1643-06477,OMWV,HY,F,-22.1,5.6,4.059866667,38.8,10.4635739
1643-06478,RMOY,HY,M,-22.1,5.4,4.1705,42.1,9.9061758
