BandID,Age,d13C,d15N
1713-44401,AHY,-21.3,6.9
1713-58959,AHY,-20.6,7.1
1713-44403,AHY,-22.3,3.3
1713-44404,AHY,-20.8,4.9
1573-59939,AHY,-20.1,6.3
1713-44405,AHY,-21,7.2
1713-58932,AHY,-19.9,7
1713-44406,AHY,-21.2,6.4
1713-44407,AHY,-22.2,6
1713-44408,AHY,-22.5,4.4
1713-58931,AHY,-20.2,7
1713-59093,AHY,-21.6,7.2
1573-59727,AHY,-21.3,6.8
1713-44409,AHY,-21,6.6
1713-44410,AHY,-22,7.6
1713-59032,AHY,-20.5,7.5
1573-59943,AHY,-21.2,6
1713-44411,AHY,-21.3,5.1
1713-44413,AHY,-22.2,5.4
1713-44414,AHY,-21.7,7
1713-58908,AHY,-21.3,6.6
1713-59046,AHY,-20.8,6.7
1573-59794,AHY,-21.2,6.2
1573-59920,AHY,-19.8,6.9
1713-44415,AHY,-20.8,5.9
1713-58909,AHY,-20.9,7.4
1713-58911,AHY,-20.6,7.1
1573-59782,AHY,-23.1,5.8
1573-59934,AHY,-21.8,6.2
1713-44418,AHY,-20.8,7.2
1713-44419,AHY,-20.9,5.9
1713-58970,AHY,-22.6,5.2
1713-44420,AHY,-22,5
1713-44421,AHY,-22.5,4.1
1573-59940,AHY,-20.3,7.7
1713-44422,AHY,-20.9,6.6
1713-44423,AHY,-21.8,4.8
1713-58999,AHY,-20.9,6.1
1573-59932,AHY,-21.4,5.8
1573-59936,AHY,-22,6.2
1713-44425,AHY,-22.9,5.3
1713-44427,AHY,-21,7.4
1713-59033,AHY,-20,8
1713-44428,AHY,-20.9,6.4
1713-44430,AHY,-22.2,5.7
1713-44417,AHY,-21.5,6.7
1713-44411,AHY,-22.5,6.2
1713-44416,AHY,-21.9,6.2
1713-44424,AHY,-21.5,6.2
1713-44429,AHY,-22.3,6.7
1713-44432,HY,-22.6,3.8
1713-44434,HY,-22.1,5.7
1713-44435,AHY,-21.3,8.2
1713-44436,AHY,-22.3,6.7
1713-44438,HY,-23.2,6.4
1713-44439,HY,-21.8,4.7
1713-44440,HY,-22.2,4.6
1713-44441,HY,-22.6,3.3
1573-59794,AHY,-20.9,6.7
1713-44412,AHY,-22.5,6.2
1713-44444,HY,-22.2,4.2
1713-44446,HY,-22.7,4.1
1713-44447,HY,-22.4,5.2
1713-44448,HY,-21.5,5.9
1713-44450,AHY,-22,6.4
1713-44418,AHY,-21.7,6.2
1713-44452,HY,-21.9,4.7
1713-58908,AHY,-21.4,7.2
1713-44419,AHY,-20,7
1713-44453,HY,-21.9,4.1
1713-44455,HY,-21.5,4.6
1713-58909,AHY,-20,6.9
1713-44408,AHY,-21.2,6.7
1713-44422,AHY,-20.3,7
1713-44458,HY,-22.6,4.8
1713-44459,HY,-22.6,3.6
1713-44460,HY,-21.5,4.5
1713-44461,HY,-21.7,4.9
1713-44462,HY,-22,3.6
1713-44463,HY,-22.2,3.5
1713-44464,HY,-23,5.5
1713-44465,HY,-22.5,5.2
1713-44466,HY,-22.3,6.3
1713-44405,AHY,-20.7,6.7
1713-44410,AHY,-21.2,6.9
1713-44467,HY,-22,4.8
1713-44469,HY,-21.7,4.9
1713-44470,AHY,-20,7.8
1713-44471,HY,-22.5,3.8
1713-58936,AHY,-19.7,7.5
